Tweet_count,Username,Text,Created At,Retweets,Likes,Category
36,AIADMK IT WING - SayYesToWomenSafety&AIADMK,"அனைத்திந்திய அண்ணா திராவிட முன்னேற்ற 
கழகத்தைச் சேர்ந்த திருக்கழுக்குன்றம் பேரூராட்சி செயலாளர்  தினேஷ் மீது  தாக்குதல் நடத்தியவர்கள் மீதும், அதற்கு காரணமானவர்கள் மீது சட்ட ரீதியான நடவடிக்கை எடுக்க வலியுறுத்தியும்,

செங்கல்பட்டு கிழக்கு மாவட்டக் கழகத்தின் சார்பில் இன்று மாபெரும் https://t.co/fLbnGfVqsk",Thu Feb 27 06:35:50 +0000 2025,271,383,AIADMK
37,இந்திராணி சுடலைமுத்து #SayYesToWomenSafety&AIADMK,"வீட்டுக்கு வெளியே பொழப்புக்கு நிற்கும் காவலாளி, லோடு வேன் ஓட்டும் பாமர மக்களிடம் வீரத்தை காட்டும் காவல் துறை திமுக மாவட்ட பொறுப்பாளரிடம் கை கட்டி சேவகம் செய்கிறதா?

ஆட்சியரை மிரட்டும் திமுக மாவட்ட பொறுப்பாளர் 😡😡😡🤦🏼 https://t.co/6wyqsOsYAt",Fri Feb 28 03:30:31 +0000 2025,54,137,AIADMK
38,Sri - Say No To Drugs And Dmk,ஒற்றைப் பெண்மணியாக கருணாநிதியையும் திமுகவையும் ஓடவிட்டவர் புரட்சித்தலைவி அம்மா அவர்கள் 🔥🔥🔥 https://t.co/toLI9GzM6e,Fri Feb 28 03:04:47 +0000 2025,1,11,AIADMK
39,Edappadi K Palaniswami-SayYEStoWomenSafety&AIADMK,"நாடு முழுவதிலும் விரதம் இருந்து, 
இரவு கண் விழித்து சிவபெருமானை வழிபடும் அனைத்து மக்களுக்கும், 
‘மகா சிவராத்திரி’ தின நல்வாழ்த்துக்களை தெரிவிப்பதோடு,சிறப்பு வாய்ந்த இந்நன்னாளில் அனைவருக்கும் நல்வழி பிறந்து,வெற்றிகள் நம் வசமாகி, எல்லோர்க்கும் எல்லா வளமும் பெற்று சிறக்க சிவபெருமானை https://t.co/Uxm1f96IwH",Wed Feb 26 13:22:46 +0000 2025,574,1820,AIADMK
40,Gowri Sankar D - Say Yes to Women Safety&AIADMK,இந்த பாசிச திமுக ஸ்டாலின் அரசுக்கு வாக்களித்தற்க்காக வருத்தபட்டு மக்கள் தவறை உணர்ந்து.... #Welcomeஎடப்பாடியார் அழைக்கிறார்கள் https://t.co/JTlpg2SAlV,Fri Feb 21 05:22:01 +0000 2025,135,392,AIADMK
41,AIADMK IT WING - SayYesToWomenSafety&AIADMK,"எங்களை ஏமாற்றினால் 2026-ல் திமுக ஏமாறும்.

கொடுத்த வாக்குறுதியை  நிறைவேற்றாத ஒரு முதல்வர் இருக்கிறார் என்றால் அது இந்தியாவிலேயே மு.க.ஸ்டாலின் மட்டும் தான்.

-ஜாக்டோ ஜியோ அமைப்பினர். https://t.co/NkrMvSpDfB",Tue Feb 25 08:36:29 +0000 2025,409,775,AIADMK
42,இந்திராணி சுடலைமுத்து #SayYesToWomenSafety&AIADMK,அண்ணன் 🙏🏼💪🏼 https://t.co/suFdZQk6t7,Fri Feb 28 05:39:38 +0000 2025,2,10,AIADMK
43,AIADMK Student Wing - அஇஅதிமுக மாணவரணி,"கரூரில் பள்ளி மாணவி கழுத்தறுக்கப்பட்டுள்ளார்.

கிருஷ்ணகிரி, கோவை, சேலம், சென்னை, கன்னியாகுமரி, சிவகங்கை, புதுக்கோட்டை என பல மாவட்டங்களில் மாணவிகள் பாலியல் வன்கொடுமைக்கு ஆளாக்கப்பட்டு வருகின்றனர்,

பொற்காலம், அப்பா என்றெல்லாம் மாற்றி மாற்றி பாராட்டுப் பத்திரம் வாசிக்க வெட்கமாக https://t.co/iPqYLQ7FEd",Mon Feb 24 11:12:18 +0000 2025,112,176,AIADMK
44,AIADMK IT WING - SayYesToWomenSafety&AIADMK,"ஆட்சியர் உட்பட மொத்த மாவட்ட நிர்வாகத்திற்கும் மிரட்டல் விட்ட திமுக தர்மபுரி கிழக்கு மாவட்ட பொறுப்பாளர் தர்மசெல்வன். இந்த ஒலிப்பதிவு உண்மையா? அப்படி உண்மையாக இருந்தால் இதுதான் ஸ்டாலின் மாடல் ஆட்சியா? 

அதிகாரிகளை மிரட்டி, மக்களை வஞ்சித்து, ஜனநாயகத்தை குழிதோண்டி புதைத்து, https://t.co/E5Jj6SDJTH",Fri Feb 28 05:07:06 +0000 2025,108,179,AIADMK
45,𝗞.𝗠 𝗚𝗼𝗽𝗶 - SayYEStoWomenSafety&AIADMK,"நரி ஊளை விட்டுருச்சு..😂😂

2026-ல் சக்சஸ்..அஇஅதிமுக வெற்றி உறுதி✌️🌱🔥 https://t.co/643b6Lp57B",Thu Feb 27 17:38:57 +0000 2025,6,12,AIADMK
46,News7 Tamil,"மறைந்த முன்னாள் முதலமைச்சர் ஜெயலலிதா பிறந்தநாள்

https://t.co/WciCN2SiwX | #Jayalalithaa | #Jayalalithaabirthday | #HBDJayalalitha | #ExCM | #AIADMK | #Birthday | #News7Tamil | #News7TamilUpdates https://t.co/z5wcRU7cHf",Mon Feb 24 02:05:49 +0000 2025,41,173,AIADMK
47,DT Next,"(1/2)

Actor Rajinikanth paid floral tribute to the portrait of former CM J Jayalalithaa on her 77th birth anniversary at her Poes Garden residence. 

#DTNext #Rajinikanth #Jayalalithaa  #PoesGarden #TNPolitics #JJayalalithaa #Thalaivar #FloralTribute #AIADMK #TamilNadu https://t.co/Tt9gMiUhvn",Mon Feb 24 06:49:11 +0000 2025,53,146,AIADMK
