Tweet_count,Username,Text,Created At,Retweets,Likes
47,News18,"#TamilNadu: BJP needs to take its narrative game in a different direction and start attacking, says @Iyervval, Senior Fellow, IPCS

Pulla Rao, Analyst: These issues are not going to change BJP's fate in Tamil Nadu 

#DMK #MKStalin #Delimitation #TheRightStand | @AnchorAnandN https://t.co/GIgCPehahH",Wed Feb 26 14:05:45 +0000 2025,3,8
48,Salem Dharanidharan,"Speaking to @CNNnews18  exposed the lies  of  bjp BJP  “Tamil Nadu is performing best when it comes to achieving the intended targets of the Samagra Shiksha programme”

#nep #StopHindiImposition #SaveTNRights #OurEducationOurRight https://t.co/MEil8aPg31",Sun Feb 23 10:20:45 +0000 2025,32,67
49,IndiaToday,"Speaking on National Education Policy and 3 language formula, Tamil Nadu BJP President @annamalai_k said, ""there is no imposition of anything.""

#TamilNadu #Delimitation #NewsToday @sardesairajdeep https://t.co/GhqFW6e9Xh",Thu Feb 27 16:11:15 +0000 2025,75,188
50,DMK IT WING,"The BJP-led Union Govt is planning an unfair #delimitation that punishes #TamilNadu and other southern states for their success in population control and #governance!

While Tamil Nadu loses seats, #BJP strongholds in North India gain more, rigging democracy in their favor.

This https://t.co/DX54ki6gmk",Tue Feb 25 15:05:57 +0000 2025,139,171
51,Kumari A.Babu Vinifread,"Retaliating against Tamil Nadu for effective governance by cutting seats? BJP's delimitation is a direct attack on our state's rights! 

This evident politicization of democracy must be resisted at all cost!

#FairDelimitationForTN
#DMKNRIWing https://t.co/CfcDB6M63P",Tue Feb 25 11:14:17 +0000 2025,35,42
52,Yazhini PM (யாழினி ப மீ),"BJP Government and its rabid Sangh Parivar ecosystem speaks at length about how India needs to be united and how Modi is creating New India that seeks to become developed by 2047. 

But what is it doing?

It is penalizing Tamil Nadu for the mere fact that we as a state, have a https://t.co/rjTe8SDz1A",Thu Feb 20 17:02:13 +0000 2025,14,40
53,Shantanu,"Massive jolt to BJP in Tamilnadu: 

AIADMK unanimously passed a resolution in the meeting that the party is breaking all ties with the BJP and NDA alliance from today. 

BJ party was thinking of breaking the Congress-led INDIA alliance but they got ditched by their one important https://t.co/iPwZ9zZJwm",Mon Sep 25 12:14:38 +0000 2023,269,1422
54,BJP Tamilnadu,"""இந்தி திணிப்பு"" என்ற நாடகம் தோற்றதால் தன் சட்டையை கழட்டிவிட்டு, அடுத்து ""டீலிமிடேஷன்"" என்ற நாடகத்திற்கு புதிய சட்டையை மாட்டிக் கொண்டு தயாரானார் தமிழக முதல்வர் @mkstalin https://t.co/MHHhxV9QgK",Thu Feb 27 10:06:58 +0000 2025,620,1708
55,Dr Mohanapriya Saravanan,"பாரதிய ஜனதா கட்சி,திருப்பூர் தெற்கு மாவட்டத்தில் புதிதாக அறிவிக்கப்பட்ட உடுமலை வடக்கு ஒன்றிய நிர்வாகிகள் அனைவருக்கும் பணி சிறக்க வாழ்த்துக்கள்💐

#Annamalai #BJPTamilnadu #NarendraModi https://t.co/cja8CQ0vFy",Fri Feb 28 00:45:35 +0000 2025,1,17
56,Garga Chatterjee,"Why is award winning Bengali filmmaker @isaumyasengupta tweeting in Tamil? 
He made 1st ever documentary against Hindi Imperialism &amp; BJP goons beat him for that. His film must be shown across Tamil Nadu &amp; everywhere else. @KanimozhiDMK @TRBRajaa @dharanisalem @isai_ @AmericaDmk",Thu Feb 27 17:50:53 +0000 2025,231,530
