Tweet_count,Username,Text,Created At,Retweets,Likes
55,Vetri Vel Mahesh.... 🪷🪷🪷😍,"My Opinion on final numbers in Tamilnadu..
DMK 44 to 46%
Seats- 24 to 28
NDA 31 to 34%
Seats- 11 to 15
ADMK + 17 to 19%
Seats- 0-1
NTK 4%
Seats- 0
Non Dravidian Government is possible in 2026 after v long time..",Sat Mar 30 03:45:56 +0000 2024,176,1029
56,Dharma,"@Gayatri_Raguram Many friends feel that AIADMK (JJ) - DMDK (Captain) alliance will do very well in Tamil Nadu Assembly Elections in 2026. OPS hoping that BJP will come #2 in LS 2024 elections in Tamil Nadu.. We shall wait for the Lok Sabha Results in TN. ☘️🍁

cc: @Gayatri_Raguram @sansbarrier https://t.co/eD6YkMomOI",Fri Mar 22 15:07:07 +0000 2024,3,6
57,KumudamNews,"BREAKING : 2026 தேர்தல் முக்கிய முடிவெடுத்த விஜய்- குஷியில் தவெகவினர் | TVK Vijay | Kumudam News | Tamil Nadu Assembly Elections 2026

#tvkvijay | #vijay | #elections2026 #kumudamnews #2026election #tamilnews #tamilnaduassemblyelections #tamilnaduelections #tamilnadu https://t.co/jLWcmmGRFu",Fri Nov 08 08:04:32 +0000 2024,1,1
58,Times Algebra,"BIG BREAKING NEWS - BJP is likely to announce Annamalai as BJP's official CM candidate for 2026 Tamil Nadu Assembly elections🔥🔥

Annamalai has said his aim is to bring BJP to power in the state. He is touring all 234 constituencies and meeting people extensively. He was on https://t.co/eE3dSkiyge",Sun Oct 01 14:40:03 +0000 2023,2783,23729
59,Political Views,"🚨 As per media reports, ADMK is set to return to the NDA ahead of the 2026 Tamil Nadu Assembly elections.

Any alliance with ADMK will hinder the growth of BJP in the state.

However if the alliance is definite then there must be one condition.

⚡️The distribution of seats https://t.co/KwFfvvihVk",Mon Jul 22 09:11:07 +0000 2024,10,78
60,ANI,"#WATCH | Chennai | Tamil Nadu Congress president K Selvaperunthagai says, ""We are going to win the 2026 elections with a big margin. We are running welfare schemes and people are with us... The central government always ignores Tamil Nadu, and people will ignore the BJP..."" https://t.co/bBgNzoCho6",Sat Feb 22 12:46:40 +0000 2025,1,11
61,be🅰️st🦁👑❤️‍🔥,"Whatever may be the opinions about 2026 Elections...

He will be The GAME CHANGER in Tamil Nadu Politics💯✅🧨❤️‍🔥

#ThalapathyVijay 🦁👑 https://t.co/hOkgKhSZf8",Fri Feb 14 15:51:49 +0000 2025,2,26
62,Dharma,@Gayatri_Raguram Journalist Umapathy feels that Vijayadharini (BJP) will be kindly given an MLA seat by BJP Chief Annamalai to contest for the Tamil Nadu 2026 Assembly Elections and warns that it will be a tough fight for her (BJP) against DMK &amp; AIADMK.. https://t.co/vsHNiStulP,Fri Mar 22 10:13:40 +0000 2024,3,13
63,Sara Syed,"THE RSS BJP DESH DROGH GOV'T IS INFILTRATING NORTH INDIANS,  FOR ELECTION MALPRACTICE PURPOSES IN 2026 TAMIL NADU ASSEMBLY ELECTIONS .",Thu Feb 20 18:08:38 +0000 2025,0,0
64,The Herd,"The Major Challenges Actor Vijay Will Face in Tamil Nadu Politics

Actor Vijay’s entry into politics has been the talk of the town for a while now. As rumors and speculation swirl about his ambitions to contest in the 2026 Tamil Nadu Assembly elections, recent statements from https://t.co/HNPh8gQrPK",Tue Jan 21 07:13:51 +0000 2025,0,1
65,🆃🅰🅼🅸🅻 🅲🅸🅽🅴🅼🅰 🆃🅰🅻🅺🆂,"#ThalapathyVijay will be a formidable player in the Tamil Nadu 2026 assembly elections, as #TVK is set to break the monopoly. 🔥 https://t.co/nfRR0SpsbC",Thu Feb 13 06:43:17 +0000 2025,0,0
66,Pavan Patel,"Big Breaking - Gyanesh Kumar will succeed Rajiv Kumar as India's next Chief Election Commissioner. He will oversee key state elections in Bengal, Kerala, Tamil Nadu, Bihar &amp; Assam. Bihar polls are due this year, while others follow in 2026.

KHABAR Aaj ki...
18/02/2025 https://t.co/TWLcwPSepw",Tue Feb 18 16:53:31 +0000 2025,0,3
67,Ashraph Dhuddy,TVK chief and actor Vijay gets 'Y+' security cover ahead of 2026 Tamil Nadu elections https://t.co/70vvfYQR4q,Fri Feb 14 18:28:18 +0000 2025,0,0
68,Saiganesh,"Annamalai’s act of whipping is disruptive politics at its peak. With a challenging road to the 2026 elections, Tamil Nadu BJP must embrace even more disruption to counter three forces: DMK, ADMK, and Vijay. Like it or not, Annamalai’s move has sent shockwaves across the Tamil",Fri Dec 27 16:14:57 +0000 2024,204,848
69,Joe Vinil,@Karthikravivarm Will Thalapathy Vijay win the Tamil Nadu election in 2026? @AskPerplexity,Thu Feb 27 18:15:58 +0000 2025,0,2
70,Sara Syed,"THIS IS RSS BJP DESH DROGH GOV'T'S TRYING TO WIN 2026 ASSEMBLY ELECTIONS IN TAMIL NADU , BY MIGRATING MORE NORTH INDIANS IN TAMIL NADU.",Thu Feb 20 18:12:18 +0000 2025,0,0
71,George 🍿🎥,"#TVK completes one year today. 

I love how #ThalapathyVijay, in this note, cites two historic events in Tamil Nadu elections and TVK's arrival to power in 2026 should mark the third one! 

1. CN Annadurai stormed to power in 1967, in the very first win for a regional party",Sun Feb 02 04:09:28 +0000 2025,27,83
72,CONTROL,"Vijay had launched TVK in February 2024.Vijay stated that TVK would not be contesting the 2024 Lok Sabha elections, opting instead to focus on the Tamil Nadu Assembly elections in 2026. Tamil Nadu's  actor will be its Chief Ministerial candidate for the 2026..🤷‍♂️🤷‍♂️📉📉 https://t.co/PUk0o5jfQz",Mon Feb 17 14:04:41 +0000 2025,0,0
