Tweet_count,Username,Text,Created At,Retweets,Likes,Category
68,SathiyamTv,சம்மனை இங்கே ஒட்டவும் சீமான் வீட்டில் வைக்கப்பட்ட பெயர்ப் பலகை,Fri Feb 28 05:07:05 +0000 2025,3,3,Naam Tamilar Katchi
69,தினமணி,ஹிந்தியில் வாக்கு சேகரிக்கும் திமுக,Thu Jan 30 10:24:03 +0000 2025,54,110,Naam Tamilar Katchi
70,தினமணி,நாம் தமிழர் கட்சியில் இருந்து விலகினார் காளியம்மாள்,Mon Feb 24 10:28:02 +0000 2025,3,29,Naam Tamilar Katchi
72,NTK-Palayamkottai,naam tamilar katchi doesnt indulge in corrupt practices like cash for votes we grow from our people to uplift the lifestyle of of the people donate us and strengthen us,Sun Jan 19 04:39:56 +0000 2025,0,0,Naam Tamilar Katchi
73,Saattai,சீமான் மட்டுமே எங்களுக்கு எதிரி திமுகலயும் திருடன் இருக்குறான் கடுப்பாகிய காமாட்சி,Sat Feb 15 09:39:20 +0000 2025,69,155,Naam Tamilar Katchi
75,D.Jackson Jayaraj,பல மொழிகள் என்றால் இந்தியா ஒரே நாடாக இருக்கும் ஒரு மொழி என்றால் பல நாடுகள் பிறக்கும் ாம்தமிழர்கட்சி,Thu Feb 20 06:15:35 +0000 2025,9,24,Naam Tamilar Katchi
76,Nakkheeran,மனித உரிமை ஆணையத்தில் வழக்கு தொடருவோம் சீமான் மனைவி பரபரப்பு பேட்டி,Fri Feb 28 05:40:53 +0000 2025,0,0,Naam Tamilar Katchi
77,IndiaToday,actor and tvk leader s meeting with political strategist has sparked sharp criticism from bjps tamil nadu chief k annamalai and naam tamilar katchi ntk leader seeman bjp leader annamalai ridiculed vijays decision urging him to meet the people,Wed Feb 12 13:11:58 +0000 2025,2,6,Naam Tamilar Katchi
78,NTK-Palayamkottai,people party interaction and coordination is a vital aspect of democracy help the fundraising of naam tamilar katchi which is straightforward in seeking help from people,Sun Jan 19 04:40:23 +0000 2025,1,2,Naam Tamilar Katchi
79,TNMedia Channels,watch காளியம்மாள் அங்க இணைவாங்க நான் நாம் தமிழரில் இணைவேன் அதியமான் பேட்டி kaliyammal seeman ீமான் ாளியம்மாள்,Tue Feb 25 15:20:52 +0000 2025,9,15,Naam Tamilar Katchi
80,Abish Jeyaseelan,மக்கள் புரட்சியை விதைத்த நாம் தமிழர் காவல்துறை தடுப்பை மீறி மதுரையை நோக்கி டங்ஸ்டன் சுரங்க எதிர்ப்பு மக்கள் திரள் பேரணி,Tue Jan 07 07:15:34 +0000 2025,189,384,Naam Tamilar Katchi
81,NTK-Palayamkottai,naam tamilar katchi has upturned the norms like only the wealthier candidates get chance to contest in elections its time for the people to support and ensure that they go on to win,Sun Jan 19 04:37:26 +0000 2025,0,0,Naam Tamilar Katchi
82,PuthiyathalaimuraiTV,ேர்படப்பேசு காளியம்மாள் சொன்னதில் இதுவேதனையை கொடுத்திருக்கும் எதார்த்தத்தை சொன்ன டிஎன்ரகு video link,Mon Feb 24 17:35:00 +0000 2025,0,5,Naam Tamilar Katchi
83,Nakkheeran,25 வருடம் ஆர்மியில் வேலை செய்துவிட்டு வந்தவர் என் கணவர் துப்பாக்கியை ஒப்படைக்க சென்றதை மாற்றி மிரட்டியதாகக் கூறுகிறார்கள்,Thu Feb 27 11:42:58 +0000 2025,1,11,Naam Tamilar Katchi
84,நெற்களஞ்சியம்❤💛,வருத்தங்களுடன் நம் பணியை தொடருவோம்,Mon Feb 24 10:18:51 +0000 2025,2,7,Naam Tamilar Katchi
85,தமிழர் ஊடகம் - Thamizhar Oodagam,தொப எனும் பேராற்றல் தொபரமசிவன் சீமான்seemanநாம்தமிழர்naam tamilar katchiதமிழ்த்தேசியம் இன்று தமிழ்நாடு நேரம் மதியம் 1200 வெளியீடு பாருங்கள் பகிருங்கள் ொப,Thu Dec 26 02:05:54 +0000 2024,53,78,Naam Tamilar Katchi
86,IBC Tamil,பிரஷாந்த் கிஷோரை நான் பாராட்டுகிறேன்,Wed Feb 26 14:21:26 +0000 2025,0,2,Naam Tamilar Katchi
87,Tamil The Hindu,காலத்தின் வழிநடத்தல் நாதகவில் இருந்து விலகுவதாக காளியம்மாள் அறிவிப்பு,Mon Feb 24 12:24:36 +0000 2025,2,13,Naam Tamilar Katchi
88,Xcel India,erode east bypoll 2025 tension at counting hall over occupying seat in the front polling agent of naam tamilar katchi ntk raised slogans claiming he was not allotted a seat in the front read more,Sat Feb 08 05:23:51 +0000 2025,0,0,Naam Tamilar Katchi
89,Tamil The Hindu,வளசரவாக்கம் காவல் நிலையத்தில் ஆஜராக முடியாது சீமான் திட்டவட்டம்,Thu Feb 27 12:32:00 +0000 2025,0,3,Naam Tamilar Katchi
91,TNMedia Channels,watch ஜெகதீச பாண்டியனுக்கு அப்படி என்ன தெரியும்,Wed Feb 26 12:01:09 +0000 2025,1,2,Naam Tamilar Katchi
92,Tamil The Hindu,தமிழகத்தில் நாதகவை தாண்டி இந்தி மொழியை திணித்து விடுங்கள் பார்ப்போம் சீமான் சவால் gt,Tue Feb 25 11:50:00 +0000 2025,1,2,Naam Tamilar Katchi
93,நெற்களஞ்சியம்❤💛,வெளிப்படையாகவே அநீதிகளால் கட்டமைக்கப்பட்ட சமூகத்தை முற்று முழுவதுமாக தகர்த்துவிட்டு புதிய சமூகமாக கட்டமைத்தலே அனைத்து பிரச்சினைகளுக்குமான தீர்வாக அமையும்,Thu Feb 27 06:50:12 +0000 2025,4,5,Naam Tamilar Katchi
94,Berlina🧚,kaliammal has left the naam tamilar katchi and i think she will join tvk next,Mon Feb 24 12:15:36 +0000 2025,4,439,Naam Tamilar Katchi
95,Thanthi TV,வெறுப்பு இருக்கு அவங்க தயவு தேவை சீமான் பரபரப்பு பேச்சு seeman,Thu Feb 27 15:03:47 +0000 2025,32,94,Naam Tamilar Katchi
96,NTK-Palayamkottai,the educated youth candidates of naam tamilar katchi instead of targeting personal gains are working hard for the upliftment of common people help them to meet their electoral expenses,Sun Jan 19 04:37:53 +0000 2025,0,0,Naam Tamilar Katchi
97,D.Jackson Jayaraj,தமிழில் எழுதப் படிக்கத் தெரியாத மூன்று தலைமுறையை உருவாக்கியது தான் திராவிட மாடலின் சாதனை ாம்தமிழர்கட்சி,Mon Feb 24 05:46:37 +0000 2025,3,13,Naam Tamilar Katchi
98,Karikalan,naam tamilar katchi ntk a party rooted in tamil nationalism its symbol the tiger stands for strength and pride fighting for farmers liberation womens rights and a vision of equality for all tamils,Sat Jan 18 05:44:25 +0000 2025,0,0,Naam Tamilar Katchi
99,Naam Tamilar Katchi France,செல்போன் திருடன் கண்டதும் முட்டிக்கு கீழே சுடுங்க சார்,Wed Feb 19 19:02:13 +0000 2025,0,1,Naam Tamilar Katchi
100,தம்பி வலையொளி,காளியம்மாள் விலகல் பின்னணி காரணமென்ன பேசப்படா உண்மைகள் இடும்பாவனம் கார்த்திக் காணொளி,Mon Feb 24 18:31:09 +0000 2025,65,109,Naam Tamilar Katchi
