Tweet_count,Username,Text,Created At,Retweets,Likes
67,Tamil Nadu Congress Committee,தமிழ்நாடு காங்கிரஸ் கமிட்டி தலைவர் திரு கு செல்வப்பெருத்தகை MLA அவர்கள் பத்திரிகையாளர்கள் சந்திப்பு https://t.co/JUKsRsBV28,Fri Feb 21 13:28:48 +0000 2025,38,59
68,Tamil Nadu Congress Committee,"இந்திய அரசமைப்பு சட்டத்தின்படி உறுப்பு 353-இல், இந்தியாவில் ஆட்சி மொழிகளாக இந்தியும், ஆங்கிலமும் தொடர்ந்து இருக்கும் என்று கூறப்பட்டுள்ளது. அதற்கு பிறகு, இந்தி பேசாத மக்கள் மீது இந்தி திணிக்கப்படுகிறது என்ற குற்றச்சாட்டின் பேரில், அன்றைய குடியரசுத் தலைவர் ராஜேந்திர பிரசாத் https://t.co/xGM4l1PHGH",Wed Feb 19 07:39:10 +0000 2025,59,79
69,IndiaToday,"#BREAKING | Amid language war in Tamil Nadu, 'Hindi' from posters blacked
Congress MP Karti Chidambaram shares his views on the 'language row'

#ITVideo #TamilNadu #NEP | @Akshita_N @AnaghaKesav @KartiPC https://t.co/ISneiVsmf7",Fri Feb 21 07:41:38 +0000 2025,50,74
70,Tamil Nadu Congress Committee,ஒன்றிய பா.ஜ.க. அரசு மோடி தலைமையில் ஆட்சி அமைந்தது முதற்கொண்டு கடந்த 10 ஆண்டுகளுக்கும் மேலாக தமிழகம் உள்ளிட்ட தென் மாநிலங்களை எந்தெந்த வகையில் வஞ்சிக்க முடியுமோ அந்த வகையில் எல்லாம் தொடர்ந்து வஞ்சித்து வருகிறது. 2026 ஆம் ஆண்டில் புதிய மக்கள் தொகை கணக்கெடுப்பின் அடிப்படையில் நாடு https://t.co/WPg67lbUOA,Wed Feb 26 08:11:16 +0000 2025,22,25
71,Lutyens Media,"Seat sharing between Congress &amp; DMK finalized in Tamil Nadu. #INDIA

DMK to contest on 21 seats
INC to contest on 9+1 seats
CPI to contest on 2 seats
CPM to contest on 2 seats
MDMK to contest on 1 seat
VCK to contest on 2 seats
IUML to contest on 1 seat
KMDK to contest on 1 seat https://t.co/1l0PjSEyrW",Sat Mar 09 14:19:00 +0000 2024,344,2496
72,News18 Tamil Nadu,"#JUSTIN நாங்கள் காங்கிரஸ் கமிட்டியை 
சீரமைக்கிறோம், வேரறுக்கவில்லை - மாவட்ட தலைவர்கள் புகார் கொடுத்தது தொடர்பான கேள்விக்கு, தமிழ்நாடு காங்கிரஸ் கமிட்டித் தலைவர் செல்வப்பெருந்தகை பேட்டி

#Selvapernthagai #Congress #News18Tamilnadu | https://t.co/3v5L32pe7b https://t.co/t3ZB5FRvOc",Sat Feb 22 08:37:10 +0000 2025,1,8
73,Tamil Nadu Congress Committee,"தமிழ்நாடு காங்கிரஸ் கமிட்டி தலைவராக பதவி ஏற்று ஓராண்டை முடித்து இரண்டாம் ஆண்டில் அடி எடுத்து வைக்கும் தலைவர் திரு.கு. செல்வப்பெருந்தகை MLA அவர்களை தமிழ்நாடு காங்கிரஸ் கமிட்டி முன்னாள் தலைவர்கள் அகில இந்திய காங்கிரஸ் செயலாளர்கள், முன்னாள் மத்திய அமைச்சர்கள், இந்நாள் - முன்னாள் https://t.co/EksoW0mL6v",Sat Feb 22 13:29:03 +0000 2025,35,52
74,Tamil Nadu Congress Committee,"ரேபரேலியில் உள்ள மாடர்ன் கோச் பேக்டரியின் அதிகாரிகள் மற்றும் ஊழியர்களுடன் நேற்று நடந்த உரையாடலின் போது, ஒரு முக்கியமான கேள்வி எழுந்தது. 

கோடிக்கணக்கான இந்தியர்களின் பயணத்தின் முதுகெலும்பாக விளங்கும் நமது ரயில்வே உண்மையில் 21ம் நூற்றாண்டுக்கு தயாரா? தற்போதைய தேவைகளைக் கருத்தில் https://t.co/GNc1fqbRws",Sun Feb 23 08:18:43 +0000 2025,82,165
75,Shashank Shekhar Jha,"@DhivCM @chennaicorp Dhivya is the General Secretary of Tamil Nadu Congress.

Congress is in power in Tamil Nadu with DMK.

But @DhivCM is criticising RSS 😂 https://t.co/v7H5H3iJif",Wed Jan 15 10:54:21 +0000 2025,21,129
76,Uday Bhanu Chib,"Heartfelt congratulations to @girishgoaINC ji on his appointment as AICC incharge of Tamil Nadu &amp; Puducherry Congress Committee!

Wishing him all the best in his new role, leading the party towards a brighter future. https://t.co/3fvS3Tz3fE",Fri Feb 14 18:27:25 +0000 2025,65,189
77,Tamil Nadu Congress Sevadal,BJP’s constant falsehoods and foreign interference are a threat to India’s democracy. It’s time to hold them accountable and end the propaganda. #USAIDFundedModi https://t.co/bU4c1FCQkO,Sat Feb 22 15:43:44 +0000 2025,9,5
78,Congress,"In the upcoming 2024 General elections, we are aiming to win all 39 Lok Sabha seats in Tamil Nadu. 

Congress President Shri @kharge and Shri @RahulGandhi have instructed us to revamp the party at the state, district, block, and booth levels.

We have a strong alliance in Tamil https://t.co/5q2tPDY7TT",Fri Aug 04 14:01:06 +0000 2023,1138,4738
79,Political Views,"🚨 PM Modi : Congress has become a 'Parjeevi Party'.

It not only drowns itself but also its allies⚡️

In UP, Congress is trying to steal the vote bank, which SP &amp; BSP claim as theirs.

In Tamil Nadu, Congress is trying to woo DMK voters by speaking the language of DMK.

In https://t.co/8kzvNEYAqc",Sat Feb 08 14:29:06 +0000 2025,4,55
80,Tamil Nadu Congress Committee,https://t.co/VcRDBirWpH,Sat Feb 15 12:58:59 +0000 2025,14,19
